지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
279,2022-01-01 0:00,-4.7,,1.5,320,39,1.7,-16.5,1025.9,1032.3,,,,,0,0,,,2000,,,-5.6,,,,
279,2022-01-01 1:00,-5.4,,1.8,320,43,1.8,-16,1025.9,1032.3,,,,,0,0,,,2000,,,-5.8,,,,
279,2022-01-01 2:00,-5.8,,1.5,340,44,1.7,-16.1,1026.3,1032.7,,,,,0,0,,,2000,,,-6.2,,,,
279,2022-01-01 3:00,-6.3,,0.7,340,47,1.8,-15.7,1026.5,1033,,,,,0,0,,,2000,,,-6.7,,,,
279,2022-01-01 4:00,-6.8,,0.7,320,49,1.8,-15.7,1026,1032.5,,,,,0,0,,,2000,,,-6.9,,,,
279,2022-01-01 5:00,-8.8,,0,0,61,1.9,-14.9,1025.6,1032.1,,,,,3,0,,,2000,,,-7.4,,,,
279,2022-01-01 6:00,-8.4,,0,0,58,1.9,-15.2,1025.4,1031.9,,,,,0,0,,,2000,,,-7.7,,,,
279,2022-01-01 7:00,-8.8,,0.3,0,64,2,-14.3,1026.1,1032.6,,,,,0,0,,,2000,,,-7.9,,,,
279,2022-01-01 8:00,-9.4,,0,0,65,2,-14.7,1026.2,1032.7,0,,,,9,0,,,2000,,,-7.7,,,,
279,2022-01-01 9:00,-7.3,,0,0,58,2.1,-14.1,1026.5,1033,0,,,,0,0,,,2000,,,-6.6,,,,
279,2022-01-01 10:00,-4.2,,0.1,0,41,1.8,-15.5,1026.7,1033.1,0.9,,,,0,0,,,2000,,,-2.6,,,,
279,2022-01-01 11:00,-2.1,,1.1,110,35,1.8,-15.5,1026.5,1032.9,1,,,,6,6,,68,2000,,,2.2,,,,
279,2022-01-01 12:00,-0.3,,0.7,110,29,1.7,-16.2,1025.7,1032,1,,,,4,2,,64,2000,,,6.6,,,,
279,2022-01-01 13:00,1.6,,0.7,110,24,1.6,-16.8,1024,1030.3,1,,,,4,1,,,2000,,,8.1,,,,
279,2022-01-01 14:00,4,,1.5,340,16,1.3,-19.6,1023.2,1029.4,1,,,,6,0,,,2000,,,8.5,,,,
279,2022-01-01 15:00,4.7,,0.8,340,14,1.2,-20.6,1022.7,1028.9,1,,,,7,2,,57,2000,,,8.8,,,,
279,2022-01-01 16:00,4,,0.7,320,16,1.3,-19.6,1022.5,1028.7,1,,,,0,0,,,2000,,,4.4,,,,
279,2022-01-01 17:00,1.1,,0,0,24,1.6,-17.2,1022.4,1028.7,0.2,,,,1,0,,,2000,,,-1.5,,,,
279,2022-01-01 18:00,-0.4,,0.7,250,31,1.8,-15.5,1022.8,1029.1,0,,,,0,0,,,2000,,,-2.6,,,,
279,2022-01-01 19:00,-1.9,,0.1,0,39,2.1,-14,1022.9,1029.2,,,,,4,0,,,2000,,,-3.1,,,,
279,2022-01-01 20:00,-2,,0.1,0,40,2.1,-13.8,1022.7,1029,,,,,6,2,,,2000,,,-3.4,,,,
279,2022-01-01 21:00,-2.7,,0.3,0,45,2.3,-13,1022.3,1028.6,,,,,7,6,,60,2000,,,-3.6,,,,
279,2022-01-01 22:00,-3.6,,0,0,55,2.6,-11.3,1022.3,1028.7,,,,,10,8,,58,2000,,,-4,,,,
279,2022-01-01 23:00,-3.7,,0,0,54,2.5,-11.6,1022.3,1028.7,,,,,7,5,,40,2000,,,-3.4,,,,
279,2022-01-02 0:00,-3.8,,0,0,55,2.5,-11.5,1022.2,1028.6,,,,,0,0,,,2000,,,-3.4,,,,
279,2022-01-02 1:00,-4,,0,0,56,2.5,-11.5,1021.8,1028.2,,,,,8,8,,41,2000,,,-3.8,,,,
279,2022-01-02 2:00,-5,,0,0,63,2.7,-10.9,1021.8,1028.2,,,,,3,3,,41,2000,,,-5,,,,
279,2022-01-02 3:00,-5.3,,0.1,0,63,2.6,-11.2,1021.4,1027.8,,,,,0,0,,,2000,,,-5.2,,,,
279,2022-01-02 4:00,-6.5,,0,0,69,2.6,-11.2,1020.8,1027.2,,,,,0,0,,,1772,,,-5.6,,,,
279,2022-01-02 5:00,-6.8,,0,0,71,2.6,-11.1,1019.9,1026.3,,,,,2,0,,,2000,,,-6,,,,
279,2022-01-02 6:00,-7,,0.1,0,70,2.5,-11.5,1020,1026.4,,,,,0,0,,,2000,,,-6.3,,,,
279,2022-01-02 7:00,-7.1,,0,0,73,2.6,-11.1,1020,1026.4,,,,,0,0,,,2000,,,-6.3,,,,
279,2022-01-02 8:00,-6,,0,0,70,2.8,-10.5,1020.4,1026.8,0,,,,8,2,,13,1874,,,-3.9,,,,
279,2022-01-02 9:00,-3.9,,0.3,0,59,2.7,-10.7,1020.3,1026.7,0,,,,9,3,,21,1991,,,-2.4,,,,
279,2022-01-02 10:00,-2,,0,0,50,2.6,-11,1020.7,1027,0.9,,,,3,0,,,2000,,,0,,,,
279,2022-01-02 11:00,-0.8,,0,0,49,2.8,-10.2,1020.8,1027.1,0.4,,,,9,5,,10,2000,,,0.7,,,,
