time,temperature,wind_speed,wind_direction,humidity,barometric_pressure,solar_radiation,precipitation
1/1/19 0:59,3.1,0.65,64,50,949,0,0
1/1/19 1:59,2.9,0.95,32,49,949,0,0
1/1/19 2:59,3.1,0.87,62,46,949,0,0
1/1/19 3:59,1.9,0.73,75,51,949,0,0
1/1/19 4:59,0.7,0.57,53,56,949,0,0
1/1/19 5:59,0.5,0.57,24,53,949,0,0
1/1/19 6:59,0,0.8,345,55,949,0,0
1/1/19 7:59,-0.8,0.85,78,60,949,0,0
1/1/19 8:59,0,0.9,34,56,949,10,0
1/1/19 9:59,2.2,0.73,84,48,950,99,0
1/1/19 10:59,3.1,0.85,81,47,950,239,0
1/1/19 11:59,5.5,1.02,83,39,950,362,0
1/1/19 12:59,7.8,0.62,125,34,950,443,0
1/1/19 13:59,10.1,0.45,337,31,949,460,0
1/1/19 14:59,10.4,0.77,146,33,949,420,0
1/1/19 15:59,11.9,0.35,160,30,949,320,0
1/1/19 16:59,10.1,0.98,186,35,949,185,0
1/1/19 17:59,8.5,0.47,186,38,949,38,0
1/1/19 18:59,7.7,0.37,253,39,949,0,0
1/1/19 19:59,7.1,0.43,253,43,949,0,0
1/1/19 20:59,6.6,0.58,277,47,949,0,0
1/1/19 21:59,5.8,0.38,69,49,949,0,0
1/1/19 22:59,4.1,0.67,40,54,949,0,0
1/1/19 23:59,3.4,0.18,333,55,949,0,0
1/2/19 0:59,2.3,0.5,65,60,949,0,0
1/2/19 1:59,1.8,0.95,54,61,949,0,0
1/2/19 2:59,0.9,0.6,13,63,949,0,0
1/2/19 3:59,-0.2,0.73,67,69,949,0,0
1/2/19 4:59,-1.1,1.62,66,70,948,0,0
1/2/19 5:59,-1.6,1.42,69,72,948,0,0
1/2/19 6:59,-0.9,0.48,103,68,948,0,0
1/2/19 7:59,-2.3,2.42,76,73,948,0,0
1/2/19 8:59,-1.4,0.75,32,68,948,11,0
1/2/19 9:59,0.1,1.35,67,61,948,103,0
1/2/19 10:59,1.4,1.4,78,55,948,244,0
1/2/19 11:59,4.2,0.98,73,46,948,366,0
1/2/19 12:59,6.1,0.83,90,42,948,447,0
1/2/19 13:59,9.1,0.47,14,33,947,465,0
1/2/19 14:59,10.6,0.52,14,30,946,418,0
1/2/19 15:59,11.7,0.5,234,30,946,312,0
1/2/19 16:59,11.5,0.57,299,29,946,183,0
1/2/19 17:59,9.9,0.8,263,32,946,40,0
1/2/19 18:59,8.7,0.88,278,34,946,0,0
1/2/19 19:59,8.2,0.53,24,36,947,0,0
1/2/19 20:59,7.4,1.13,53,40,947,0,0
1/2/19 21:59,5.4,2.02,80,43,947,0,0
1/2/19 22:59,4.6,3.48,78,45,947,0,0
1/2/19 23:59,3.9,2.82,62,48,947,0,0
1/3/19 0:59,3,2.22,62,52,947,0,0
1/3/19 1:59,2.8,2.53,68,52,947,0,0
1/3/19 2:59,2,2.2,54,56,947,0,0
1/3/19 3:59,2,2.43,48,53,947,0,0
1/3/19 4:59,1.6,1.9,33,51,947,0,0
1/3/19 5:59,0.6,2.18,57,56,947,0,0
1/3/19 6:59,0.8,2.13,48,56,947,0,0
1/3/19 7:59,0.6,2.17,12,51,947,0,0
1/3/19 8:59,0.5,1.12,59,47,947,10,0
1/3/19 9:59,1.8,1.23,65,48,948,101,0
1/3/19 10:59,3.9,1.02,91,43,948,238,0
1/3/19 11:59,6.1,0.93,84,38,948,362,0
1/3/19 12:59,7.8,1.23,161,33,947,446,0
1/3/19 13:59,8.3,1.33,125,32,947,469,0
1/3/19 14:59,9.9,0.82,142,30,947,434,0
1/3/19 15:59,9.7,1.12,146,29,947,350,0
1/3/19 16:59,9.7,0.77,117,32,947,178,0
1/3/19 17:59,8.6,0.43,36,34,947,22,0
1/3/19 18:59,8.1,0.25,62,36,947,0,0
1/3/19 19:59,7.4,0.5,79,37,947,0,0
1/3/19 20:59,6,2.02,74,37,948,0,0
1/3/19 21:59,4.6,1.33,67,46,948,0,0
1/3/19 22:59,3.9,0.83,14,50,948,0,0
1/3/19 23:59,3.4,0.67,67,52,948,0,0
1/4/19 0:59,2.1,0.87,36,57,948,0,0
1/4/19 1:59,1.5,0.77,53,61,948,0,0
1/4/19 2:59,1,0.87,14,62,948,0,0
1/4/19 3:59,0.7,0.92,31,61,948,0,0
1/4/19 4:59,0.1,0.65,15,63,948,0,0
1/4/19 5:59,-0.5,0.47,337,67,947,0,0
1/4/19 6:59,-1,0.7,67,70,948,0,0
1/4/19 7:59,-0.9,0.23,76,69,948,0,0
1/4/19 8:59,-1,0.5,4,68,948,10,0
1/4/19 9:59,1,0.78,59,59,949,102,0
1/4/19 10:59,2.7,1.03,41,51,949,240,0
1/4/19 11:59,4.2,0.87,65,46,949,364,0
1/4/19 12:59,7.2,0.45,337,38,949,445,0
1/4/19 13:59,9.4,0.5,225,35,949,463,0
1/4/19 14:59,10.9,0.48,148,31,948,413,0
1/4/19 15:59,11.7,0.28,28,30,948,307,0
1/4/19 16:59,10.5,0.68,216,32,948,183,0
1/4/19 17:59,8.8,0.47,227,32,949,41,0
1/4/19 18:59,6.9,0.4,205,39,949,0,0
1/4/19 19:59,6.2,0.13,254,43,949,0,0
1/4/19 20:59,5.7,0.58,277,47,949,0,0
1/4/19 21:59,4.7,0.92,277,52,950,0,0
1/4/19 22:59,4.1,0.2,32,56,950,0,0
1/4/19 23:59,3.4,0.33,59,57,950,0,0
1/5/19 0:59,1.8,0.57,28,57,950,0,0
1/5/19 1:59,0.1,1.82,69,61,950,0,0
1/5/19 2:59,-0.6,1.65,72,62,950,0,0
1/5/19 3:59,-0.4,0.55,59,61,950,0,0
1/5/19 4:59,-0.3,0.58,61,59,950,0,0
1/5/19 5:59,-0.5,0.6,331,59,950,0,0
1/5/19 6:59,-0.8,0.68,43,56,950,0,0
1/5/19 7:59,-1.5,0.42,5,56,950,0,0
1/5/19 8:59,-1.3,0.52,48,56,951,10,0
1/5/19 9:59,1,0.23,13,48,951,98,0
1/5/19 10:59,3.4,0.42,59,41,951,236,0
1/5/19 11:59,4.3,0.92,117,37,951,363,0
1/5/19 12:59,8,0.28,146,32,951,440,0
1/5/19 13:59,8.7,0.63,182,34,950,463,0
1/5/19 14:59,9.5,0.68,176,33,950,427,0
1/5/19 15:59,10.6,0.87,223,31,950,330,0
1/5/19 16:59,10.7,0.6,225,31,950,189,0
1/5/19 17:59,9.1,0.45,170,35,950,43,0
1/5/19 18:59,7.1,0.6,248,42,950,0,0
1/5/19 19:59,6.3,0.47,306,46,950,0,0
1/5/19 20:59,5.7,0.32,306,50,950,0,0
1/5/19 21:59,4.1,0.3,149,56,950,0,0
1/5/19 22:59,4.2,0.23,170,56,950,0,0
1/5/19 23:59,2.8,0.45,60,59,950,0,0
1/6/19 0:59,1.5,1.08,67,60,950,0,0
1/6/19 1:59,0.8,1.33,73,61,950,0,0
1/6/19 2:59,1,1.08,75,58,950,0,0
1/6/19 3:59,0.3,0.8,71,63,950,0,0
1/6/19 4:59,0.2,0.48,31,64,949,0,0
1/6/19 5:59,-0.8,0.55,84,68,949,0,0
1/6/19 6:59,-1,0.57,54,60,949,0,0
1/6/19 7:59,-1.7,1.52,67,53,949,0,0
1/6/19 8:59,-1.4,1.35,32,50,949,11,0
1/6/19 9:59,1.8,0.42,54,41,949,103,0
1/6/19 10:59,4.2,0.4,79,41,950,245,0
1/6/19 11:59,5.7,0.6,246,41,950,367,0
1/6/19 12:59,7.9,0.65,253,35,949,448,0
1/6/19 13:59,10.4,0.8,276,27,948,469,0
1/6/19 14:59,12.5,0.68,223,20,948,428,0
1/6/19 15:59,12.8,1.13,312,20,948,336,0
