Date,Taco Stands in LA
1/1/10,12
2/1/10,15
3/1/10,15
4/1/10,19
5/1/10,24
6/1/10,29
7/1/10,28
8/1/10,36
9/1/10,29
10/1/10,27
11/1/10,26
12/1/10,24
1/1/11,24
2/1/11,27
3/1/11,27
4/1/11,31
5/1/11,36
6/1/11,41
7/1/11,40
8/1/11,48
9/1/11,41
10/1/11,39
11/1/11,38
12/1/11,36
1/1/12,36
2/1/12,39
3/1/12,39
4/1/12,43
5/1/12,48
6/1/12,53
7/1/12,52
8/1/12,60
9/1/12,53
10/1/12,51
11/1/12,50
12/1/12,48
1/1/13,48
2/1/13,51
3/1/13,51
4/1/13,55
5/1/13,60
6/1/13,65
7/1/13,64
8/1/13,72
9/1/13,65
10/1/13,63
11/1/13,62
12/1/13,60
1/1/14,60
2/1/14,63
3/1/14,63
4/1/14,67
5/1/14,72
6/1/14,77
7/1/14,76
8/1/14,84
9/1/14,77
10/1/14,75
11/1/14,74
12/1/14,72
1/1/15,72
2/1/15,75
3/1/15,75
4/1/15,79
5/1/15,84
6/1/15,89
7/1/15,88
8/1/15,96
9/1/15,89
10/1/15,87
11/1/15,86
12/1/15,84
1/1/16,84
2/1/16,87
3/1/16,87
4/1/16,91
5/1/16,96
6/1/16,101
7/1/16,100
8/1/16,108
9/1/16,101
10/1/16,99
11/1/16,98
12/1/16,96
1/1/17,96
2/1/17,99
3/1/17,99
4/1/17,103
5/1/17,108
6/1/17,113
7/1/17,112
8/1/17,120
9/1/17,113
10/1/17,111
11/1/17,110
12/1/17,108
1/1/18,108
2/1/18,111
3/1/18,111
4/1/18,115
5/1/18,120
6/1/18,125
7/1/18,124
8/1/18,132
9/1/18,125
10/1/18,123
11/1/18,122
12/1/18,120
1/1/19,120
2/1/19,123
3/1/19,123
4/1/19,127
5/1/19,132
6/1/19,137
7/1/19,136
8/1/19,144
9/1/19,137
10/1/19,135
11/1/19,134
12/1/19,132
1/1/20,132
2/1/20,135
3/1/20,135
4/1/20,139
5/1/20,144
6/1/20,149
7/1/20,148
8/1/20,156
9/1/20,149
10/1/20,147
11/1/20,146
12/1/20,144
1/1/21,144
2/1/21,147
3/1/21,147
4/1/21,151
5/1/21,156
6/1/21,161
7/1/21,160
8/1/21,168
9/1/21,161
10/1/21,159
11/1/21,158
12/1/21,156
1/1/22,156
2/1/22,159
3/1/22,159
4/1/22,163
5/1/22,168
6/1/22,173
7/1/22,172
8/1/22,180
9/1/22,173
10/1/22,171
11/1/22,170
12/1/22,168
1/1/23,168
2/1/23,171
3/1/23,171
4/1/23,175
5/1/23,180
6/1/23,185
7/1/23,184
8/1/23,192
9/1/23,185
10/1/23,183
11/1/23,182
12/1/23,180
1/1/24,180
2/1/24,183
3/1/24,183
4/1/24,187
5/1/24,192
6/1/24,197
7/1/24,196
8/1/24,204
9/1/24,197
10/1/24,195
11/1/24,194
12/1/24,192
1/1/25,192
2/1/25,195
3/1/25,195
4/1/25,199
5/1/25,204
6/1/25,209
7/1/25,208
8/1/25,216
9/1/25,209
10/1/25,207
11/1/25,206
12/1/25,204
1/1/26,204
2/1/26,207
3/1/26,207
4/1/26,211
5/1/26,216
6/1/26,221
7/1/26,220
8/1/26,228
9/1/26,221
10/1/26,219
11/1/26,218
12/1/26,216
1/1/27,216
2/1/27,219
3/1/27,219
4/1/27,223
5/1/27,228
6/1/27,233
7/1/27,232
8/1/27,240
9/1/27,233
10/1/27,231
11/1/27,230
12/1/27,228
1/1/28,228
2/1/28,231
3/1/28,231
4/1/28,235
5/1/28,240
6/1/28,245
7/1/28,244
8/1/28,252
9/1/28,245
10/1/28,243
11/1/28,242
12/1/28,240
1/1/29,240
2/1/29,243
3/1/29,243
4/1/29,247
5/1/29,252
6/1/29,257
7/1/29,256
8/1/29,264
9/1/29,257
10/1/29,255
11/1/29,254
12/1/29,252
